stage,soc_level,value
14,6,-10.2021
14,7,-5.17018
14,8,-0.138315
14,9,4.89355
14,10,9.92542
14,11,14.2785
14,12,18.6315
14,13,22.9845
14,14,27.3376
14,15,31.6906
14,16,36.0437
14,17,40.3967
14,18,44.7497
14,19,49.1028
14,20,53.4558
15,0,-40.3933
15,1,-35.3614
15,2,-30.3295
15,3,-25.2977
15,4,-20.2658
15,5,-15.2339
15,6,-10.2021
15,7,-5.17018
15,8,-0.138315
15,9,4.89355
15,10,9.92542
15,11,14.2785
15,12,18.6315
15,13,22.9845
15,14,27.3376
15,15,31.6906
15,16,36.0437
15,17,40.3967
15,18,44.7497
15,19,49.1028
15,20,53.4558
16,0,-40.3933
16,1,-35.3614
16,2,-30.3295
16,3,-25.2977
16,4,-20.2658
16,5,-15.2339
16,6,-10.2021
16,7,-5.17018
16,8,-0.138315
16,9,4.89355
16,10,9.92542
16,11,14.2785
16,12,18.6315
16,13,22.9845
16,14,27.3376
16,15,31.6906
16,16,36.0437
16,17,40.3967
16,18,44.7497
16,19,49.1028
16,20,53.4558
17,0,-40.3933
17,1,-35.3614
17,2,-30.3295
17,3,-25.2977
17,4,-20.2658
17,5,-15.2339
17,6,-10.2021
17,7,-5.17018
17,8,-0.138315
17,9,4.89355
17,10,9.92542
17,11,14.2785
17,12,18.6315
17,13,22.9845
17,14,27.3376
17,15,31.6906
17,16,36.0437
17,17,40.3967
17,18,44.7497
17,19,49.1028
17,20,53.4558
18,0,-40.3933
18,1,-35.3614
18,2,-30.3295
18,3,-25.2977
18,4,-20.2658
18,5,-15.2339
18,6,-10.2021
18,7,-5.17018
18,8,-0.138315
18,9,4.89355
18,10,9.92542
18,11,14.0577
18,12,18.1901
18,13,22.3224
18,14,26.4547
18,15,30.5871
18,16,34.7194
18,17,38.8517
18,18,42.984
18,19,47.1164
18,20,51.2487
19,0,-40.3933
19,1,-36.2609
19,2,-32.1286
19,3,-27.9963
19,4,-23.864
19,5,-19.7316
19,6,-15.5993
19,7,-11.467
19,8,-7.33464
19,9,-3.20232
19,10,0.930012
19,11,4.96934
19,12,9.00866
19,13,13.048
19,14,17.0873
19,15,21.1266
19,16,25.166
19,17,29.2053
19,18,33.2446
19,19,37.2839
19,20,41.3233
20,0,-40.3933
20,1,-36.3539
20,2,-32.3146
20,3,-28.2753
20,4,-24.236
20,5,-20.1966
20,6,-16.1573
20,7,-12.118
20,8,-8.07865
20,9,-4.03933
20,10,-1.02357e-14
20,11,3.54253
20,12,7.08505
20,13,10.6276
20,14,14.1701
20,15,17.7126
20,16,21.2552
20,17,24.7977
20,18,28.3402
20,19,31.8827
20,20,35.4253
21,0,-40.3933
21,1,-36.3539
21,2,-32.3146
21,3,-28.2753
21,4,-24.236
21,5,-20.1966
21,6,-16.1573
21,7,-12.118
21,8,-8.07865
21,9,-4.03933
21,10,-7.22875e-15
21,11,2.85118
21,12,5.70235
21,13,8.55353
21,14,11.4047
21,15,14.2559
21,16,17.1071
21,17,19.9582
21,18,22.8094
21,19,25.6606
21,20,28.5118
22,0,-40.3933
22,1,-36.3539
22,2,-32.3146
22,3,-28.2753
22,4,-24.236
22,5,-20.1966
22,6,-16.1573
22,7,-12.118
22,8,-8.07865
22,9,-4.03933
22,10,-4.66802e-15
22,11,2.64206
22,12,5.28411
22,13,7.92617
22,14,10.5682
22,15,13.2103
22,16,15.8523
22,17,18.4944
22,18,21.1365
22,19,23.7785
22,20,26.4206
23,0,-40.3933
23,1,-36.3539
23,2,-32.3146
23,3,-28.2753
23,4,-24.236
23,5,-20.1966
23,6,-16.1573
23,7,-12.118
23,8,-8.07865
23,9,-4.03933
23,10,-2.24228e-15
23,11,2.35782
23,12,4.71564
23,13,7.07346
23,14,9.43128
23,15,11.7891
23,16,14.1469
23,17,16.5047
23,18,18.8626
23,19,21.2204
23,20,23.5782
24,0,
24,1,
24,2,
24,3,
24,4,
24,5,
24,6,
24,7,
24,8,
24,9,
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
