n_soc,total_net,mean_ms_per_day
11,1389.63,0.00451923
21,1389.63,0.0122445
41,1389.63,0.0524918
51,1389.63,0.0767473
101,1389.63,0.265203
201,1389.63,0.943505
401,1389.63,3.55941
