date,method,true_net_profit,gross_revenue,real_deg_cost,throughput,full_cycles
2019-10-31,dp_nodeg,-33.0544,14.9456,48,4,2
2019-10-31,greedy,-19.0218,4.97821,24,2,1
2019-11-01,dp_deg,4.47694e-15,7.47455e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-01,dp_nodeg,-26.3244,9.67562,36,3,1.5
2019-11-01,greedy,-53.8254,-11.8254,42,3.5,1.75
2019-11-02,dp_deg,3.36722e-15,6.36482e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-02,dp_nodeg,-25.1033,10.8967,36,3,1.5
2019-11-02,greedy,-4.22792,13.7721,18,1.5,0.75
2019-11-03,dp_deg,7.10462,19.1046,12,1,0.5
2019-11-03,dp_nodeg,-7.45871,28.5413,36,3,1.5
2019-11-03,greedy,8.67179,26.6718,18,1.5,0.75
2019-11-04,dp_deg,0.525424,12.5254,12,1,0.5
2019-11-04,dp_nodeg,-14.891,21.109,36,3,1.5
2019-11-04,greedy,-12.6338,11.3662,24,2,1
2019-11-05,dp_deg,3.68719,15.6872,12,1,0.5
2019-11-05,dp_nodeg,-0.812719,23.1873,24,2,1
2019-11-05,greedy,-13.3394,10.6606,24,2,1
2019-11-06,dp_deg,11.7261,35.7261,24,2,1
2019-11-06,dp_nodeg,11.7261,35.7261,24,2,1
2019-11-06,greedy,-12.3147,11.6853,24,2,1
2019-11-07,dp_deg,6.89793e-15,9.89554e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-07,dp_nodeg,-24.82,11.18,36,3,1.5
2019-11-07,greedy,-42.5827,-12.5827,30,2.5,1.25
2019-11-08,dp_deg,1.66468,13.6647,12,1,0.5
2019-11-08,dp_nodeg,-3.73445,20.2656,24,2,1
2019-11-08,greedy,-11.9182,12.0818,24,2,1
2019-11-09,dp_deg,6.66068e-15,9.65828e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-09,dp_nodeg,-28.1936,7.80645,36,3,1.5
2019-11-09,greedy,-50.9416,-20.9416,30,2.5,1.25
2019-11-10,dp_deg,6.49389e-15,9.49149e-15,2.9976e-15,2.498e-16,1.249e-16
2019-11-10,dp_nodeg,-14.7932,9.20676,24,2,1
2019-11-10,greedy,8.67718,26.6772,18,1.5,0.75
